date,institute,cdl,unione,others,ulivo,fi,an,udc,prc,ln,pdci,idv,fdv,ulivo_pd,ld,pd,pdl,sa,rc,sel,m5s,fli,sc,fdi,cd,vtr,sample_size,eu,i,cp,nci,leu,pap,cpi,si,ap,mdp,cp_ap,sel_si,ncd,pdl_fi
2008-03-22,ISPO,NA,NA,3.5,NA,NA,NA,5.5,NA,4.5,NA,3.5,NA,NA,1.5,35,39.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-21,Quaeris,NA,NA,4.3,NA,NA,NA,6,NA,6,NA,3.8,NA,NA,3.7,32.5,37.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-21,Euromedia,NA,NA,4.8,NA,NA,NA,5.1,NA,5.5,NA,3.8,NA,NA,2.5,32.2,38.3,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-17,Demoskopea,NA,NA,1.5,NA,NA,NA,6,NA,5,NA,2.5,NA,NA,2.5,34.5,40.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-16,Digis,NA,NA,2.1,NA,NA,NA,6.9,NA,4.1,NA,3.7,NA,NA,1.6,34.5,40.4,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-14,ClandestinoWeb,NA,NA,3.9,NA,NA,NA,7.4,NA,5.5,NA,3,NA,NA,4,32,35,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-13,Lorien,NA,NA,3.6,NA,NA,NA,7.3,NA,4.8,NA,3,NA,NA,1.9,32.9,39.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-13,Demopolis,NA,NA,4.5,NA,NA,NA,6.5,NA,5,NA,3.5,NA,NA,2.5,33.5,38,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-13,Quaeris,NA,NA,4,NA,NA,NA,7,NA,6,NA,4,NA,NA,3.5,32,37,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-11,ISPO,NA,NA,2.5,NA,NA,NA,5.5,NA,4.5,NA,3,NA,NA,3.5,33.5,39,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
