institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Rass/Action24,2018-10-18,35.6,NA,8.4,24.2,NA,NA,NA,NA,1004,NA,8.7,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,1.3,11.5,NA
Pulse RC/Skai,2018-10-16,38,NA,7.5,25,NA,NA,NA,NA,1355,NA,9,NA,NA,NA,2,NA,NA,2,NA,NA,2,1,NA,NA,NA,2.5,8.5,NA
Palmos Analysis/tvxs,2018-09-21,34,NA,6,28,NA,NA,NA,NA,1016,NA,5.5,NA,NA,NA,1.5,NA,NA,2.5,NA,NA,2.5,NA,NA,NA,NA,NA,8,NA
Metron Analysis/Ta Nea,2018-09-20,36.9,NA,6.7,25.2,NA,NA,NA,NA,1000,NA,6,NA,NA,NA,1.3,NA,NA,2.3,NA,NA,3.2,1.6,NA,NA,1.6,1.4,8.1,NA
MRB/Star,2018-09-19,37.7,NA,7.2,27,NA,NA,NA,NA,1004,NA,7.3,NA,NA,NA,1.8,NA,NA,1.2,NA,NA,3.2,NA,NA,1.3,NA,1.6,7.9,NA
Alco/Kontra Channel,2018-09-19,33.3,NA,7.5,25.8,NA,NA,NA,NA,1000,NA,8,NA,NA,NA,2.6,NA,NA,1.7,NA,NA,2.9,2.5,NA,1.8,NA,1.5,6.5,NA
Kapa Research/Ethnos,2018-09-18,31.4,NA,7.1,25.2,NA,NA,NA,NA,1005,NA,10.1,NA,NA,NA,3.2,NA,NA,1.7,NA,NA,2.9,2,NA,1.5,NA,1.9,8.5,NA
Pulse RC/Skai,2018-09-18,38,NA,7,26,NA,NA,NA,NA,1354,NA,9,NA,NA,NA,2,NA,NA,2,NA,NA,2.5,1,NA,NA,NA,2.5,8,NA
Vox Pop Analysis/Documento,2018-09-14,33.6,NA,4.6,29.6,NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,0.7,NA,NA,0.5,NA,NA,1.5,1.1,NA,NA,1.1,3,6.4,NA
ProRata/EfSyn,2018-09-12,34.5,NA,6.5,26.5,NA,NA,NA,NA,1000,NA,8.5,NA,NA,NA,1.5,NA,NA,3,NA,NA,2,2,NA,NA,NA,2,10,NA
Marc/Proto Thema,2018-09-08,36.4,NA,7.3,23.2,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,1.4,NA,NA,1.8,NA,NA,3.1,1.7,NA,1.5,NA,2.5,7.8,NA
Public Issue,2018-07-12,38,NA,7.5,22.5,NA,NA,NA,NA,1009,NA,7.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,NA,NA,NA,NA,NA,9.5,NA
Vox Pop Analysis/Documento,2018-07-07,32.5,NA,6.6,27.2,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,1.3,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,8.5,NA
Kapa Research/Ethnos,2018-07-02,30.6,NA,7.5,23.4,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,2.6,NA,NA,NA,NA,NA,3.4,2,NA,1.3,NA,2.8,9.1,NA
MRB/Real.gr,2018-06-29,36.8,NA,6.9,25.2,NA,NA,NA,NA,2000,NA,8.4,NA,NA,NA,2.1,NA,NA,NA,NA,NA,3.4,NA,NA,1.2,NA,1.3,10.6,NA
Metron Analysis/Ta Nea,2018-06-28,36.7,NA,6.8,22.6,NA,NA,NA,NA,1000,NA,8,NA,NA,NA,2,NA,NA,NA,NA,NA,3.2,NA,NA,NA,1.6,2.8,9.9,NA
Alco/Kontra Channel,2018-06-27,32.5,NA,8.5,23.6,NA,NA,NA,NA,1000,NA,7.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,3.6,2.5,NA,1.7,NA,2.1,7.4,1.6
Pulse RC/Skai,2018-06-26,39,NA,7,24.5,NA,NA,NA,NA,1323,NA,8.5,NA,NA,NA,2,NA,NA,NA,NA,NA,2.9,1,NA,1,1,2,8.5,NA
Marc/Proto Thema,2018-06-15,37.9,NA,7.8,20.1,NA,NA,NA,NA,1000,NA,9,NA,NA,NA,2.1,NA,NA,NA,NA,NA,3.4,2,NA,1.4,NA,2.1,9.3,NA
Rass/Action 24,2018-05-31,36.2,NA,8.3,23.7,NA,NA,NA,NA,1002,NA,8.5,NA,NA,NA,3,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,11.8,NA
Alco/Kontra Channel,2018-05-20,32,NA,7.5,25.1,NA,NA,NA,NA,1000,NA,8.7,NA,NA,NA,2.2,NA,NA,NA,NA,NA,2.9,2.6,NA,1.6,NA,1.6,8,1.5
Pulse RC/Skai,2018-05-15,37,NA,7,25,NA,NA,NA,NA,1341,NA,9,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,1,NA,1,1,1.5,9,NA
Public Issue,2018-05-07,39,NA,6.5,20,NA,NA,NA,NA,1003,NA,8.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,11,NA
Metron Analysis/Ta Nea,2018-04-21,36.3,NA,6.7,23.3,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3.3,1.5,NA,NA,2.3,1.6,9,1.4
Pulse RC/Skai,2018-04-17,36,NA,7.5,24.5,NA,NA,NA,NA,1356,NA,9,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,NA,NA,1,NA,1.5,10.5,NA
Alco/News247,2018-04-16,31.4,NA,6.3,24.5,NA,NA,NA,NA,1000,NA,8.8,NA,NA,NA,2.6,NA,NA,NA,NA,NA,2.6,3.7,NA,NA,1.9,NA,7.9,NA
Palmos Analysis/tvxs,2018-04-15,32.5,NA,8.5,25.5,NA,NA,NA,NA,1009,NA,7.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,9.5,NA
Kapa Research/Ethnos,2018-04-03,28.4,NA,8.3,22.6,NA,NA,NA,NA,8000,NA,10.3,NA,NA,NA,3.3,NA,NA,NA,NA,NA,3,2,NA,1.6,1.8,2.2,10.3,1.6
Marc/Proto Thema,2018-03-23,35.3,NA,7.8,22.7,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,2.1,NA,NA,NA,NA,NA,3.2,2.1,NA,NA,1.3,1.3,9.8,NA
Pulse RC/Skai,2018-03-13,36,NA,7,24.5,NA,NA,NA,NA,1304,NA,9,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,NA,NA,1,1,1,10,NA
Rass/Action24,2018-03-08,35.8,NA,7.7,23.4,NA,NA,NA,NA,1002,NA,8.8,NA,NA,NA,3,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,12.4,NA
Pulse RC/Dimokratia,2018-03-03,35.5,NA,7,25,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,1,NA,1,2.5,1,9.5,NA
Opinion Poll/Paraskhnio,2018-03-03,38.7,NA,7.1,25.6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.2,NA,NA,NA,NA,NA,2.9,2.6,NA,NA,NA,NA,9.1,NA
Alco/Ethnos,2018-02-24,32,NA,7.5,24.7,NA,NA,NA,NA,1000,NA,10.3,NA,NA,NA,3,NA,NA,NA,NA,NA,2.7,3,NA,NA,1.3,NA,9.3,NA
Metron Analysis/To Vima,2018-02-23,34.9,NA,7,25.2,NA,NA,NA,NA,2300,NA,9.4,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3,1.9,NA,NA,NA,1.5,8.4,NA
Pulse RC/Action24,2018-01-29,36.5,NA,6.5,24,NA,NA,NA,NA,1518,NA,9.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,1,NA,1,1,1,10.5,NA
Metron Analysis/Ta Nea,2018-01-20,35.4,NA,6.9,24.9,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,2.7,NA,NA,NA,NA,NA,3.2,NA,NA,1.3,2.7,1.9,9.8,NA
Alco/News247,2018-01-18,32.7,NA,7.3,25,NA,NA,NA,NA,1000,NA,9.3,NA,NA,NA,2.9,NA,NA,NA,NA,NA,2.6,4,NA,NA,NA,NA,9.7,NA
Public Issue,2018-01-18,37,NA,7.5,21.5,NA,NA,NA,NA,1010,NA,8,NA,NA,NA,2,NA,NA,1,NA,NA,2.5,NA,NA,NA,NA,NA,13,NA
Marc/Proto Thema,2018-01-13,35.2,NA,7.7,22.9,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,2.9,NA,NA,NA,NA,NA,3.4,2.2,NA,NA,1.5,NA,11,NA
Pulse RC/bankingnews.gr,2018-01-10,36.5,NA,6.5,25,NA,NA,NA,NA,1207,NA,8.5,NA,NA,NA,2.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,10,NA
Alco/News247,2017-12-18,32.5,NA,7.5,24.4,NA,NA,NA,NA,1000,NA,8.6,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3.7,NA,NA,NA,NA,11.2,NA
PAMAK/Skai,2017-12-15,35.5,NA,7.5,21,NA,NA,NA,NA,1058,NA,9,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3,2,NA,2.5,1,NA,11,NA
MRB/Real.gr,2017-12-08,35.2,NA,7.5,24.4,NA,NA,NA,NA,2000,NA,7.8,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3.2,1.1,NA,2.4,1.7,NA,11.6,NA
Kapa Research,2017-12-06,29.4,NA,8,22.9,NA,NA,NA,NA,12783,NA,9.6,NA,NA,NA,3.2,NA,NA,NA,NA,NA,3,2.3,NA,1.5,1.9,NA,11.7,NA
Opinion Poll/iefimerida,2017-12-04,37.7,NA,7.8,21,NA,NA,NA,NA,1010,NA,5.7,NA,NA,NA,1.3,NA,NA,NA,NA,NA,3,0.9,NA,0.5,1.3,NA,11.5,NA
Metron Analysis/Ta Nea,2017-11-25,35.6,NA,6,24.1,NA,NA,NA,NA,1000,NA,7.4,NA,NA,NA,2.6,NA,NA,1.5,NA,NA,3.1,NA,12.5,NA,2.3,NA,NA,NA
PAMAK/Skai,2017-11-16,36.5,NA,7.5,22,NA,NA,NA,NA,1112,NA,8.5,NA,NA,NA,2,NA,NA,0.5,NA,NA,2.5,NA,10,NA,NA,NA,NA,NA
Alco/Newsit,2017-11-14,31.9,NA,7,23.4,NA,NA,NA,NA,1000,NA,8.8,NA,NA,NA,2.8,NA,NA,2.6,NA,NA,2.8,3.6,7.5,NA,1.4,NA,NA,NA
Pulse RC/Dimokratia,2017-11-10,37,NA,7,24.5,NA,NA,NA,NA,1114,NA,9,NA,NA,NA,2,NA,NA,1.5,NA,NA,2,NA,9,NA,NA,NA,NA,NA
PAMAK/Skai,2017-10-25,37,NA,6.5,21.5,NA,NA,NA,NA,1135,NA,8.5,NA,NA,NA,3,NA,NA,2,NA,NA,3.5,NA,7.5,NA,2.5,NA,NA,NA
Marc/Proto Thema,2017-10-25,36.8,NA,8.1,22.3,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3.6,1.9,8.6,NA,1.3,1.3,NA,NA
Palmos Analysis/tvxs,2017-10-12,30,NA,8.5,22,NA,NA,NA,NA,1010,NA,8.5,NA,NA,NA,2,NA,NA,3,NA,NA,3,2,8,2,2,NA,NA,NA
Alco/Newsit,2017-09-28,32.9,NA,7.5,23.6,NA,NA,NA,NA,1000,NA,9.2,NA,NA,NA,2.9,NA,NA,2.5,NA,NA,3.2,2.9,7.6,NA,1.9,NA,NA,NA
PAMAK/Skai,2017-09-22,35.5,NA,7.5,21,NA,NA,NA,NA,1025,NA,8.5,NA,NA,NA,2.5,NA,NA,1,NA,NA,2.5,NA,9,NA,NA,NA,NA,NA
Metron Analysis/Ta Nea,2017-09-20,36.7,NA,7.1,22.7,NA,NA,NA,NA,1201,NA,7.3,NA,NA,NA,2.9,NA,NA,2.8,NA,NA,3.4,1.7,8.8,NA,1.9,NA,NA,NA
Kapa Research/To Vima,2017-09-11,30.9,NA,8.2,22.6,NA,NA,NA,NA,1215,NA,8.9,NA,NA,NA,3.5,NA,NA,2,NA,NA,3,1.8,9.4,1.8,1.8,NA,NA,NA
Marc/Proto Thema,2017-09-07,36.8,NA,8.1,22.3,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,2.8,NA,NA,2.7,NA,NA,3.2,1.8,8.1,NA,1.4,1.5,NA,NA
Alco/Newsit,2017-09-06,33.2,NA,8.6,22.9,NA,NA,NA,NA,1000,NA,9,NA,NA,NA,3,NA,NA,1.7,NA,NA,3,2.8,7.9,NA,1.4,NA,NA,NA
Metron Analysis/Parapolitika,2017-07-05,37,NA,8,22.2,NA,NA,NA,NA,1003,NA,8.3,NA,NA,NA,2.7,NA,NA,2.7,NA,NA,3.8,1.6,8.1,NA,2,NA,NA,NA
MRB/Real News,2017-06-29,36.1,NA,8.4,21.7,NA,NA,NA,NA,2000,NA,9,NA,NA,NA,3,NA,NA,2.4,NA,NA,3.5,NA,9,1.2,2.8,NA,NA,NA
PAMAK/Skai,2017-06-23,39.5,NA,9,18,NA,NA,NA,NA,1145,NA,8.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,2,7,2,1,NA,NA,NA
Κapa Research/To Vima,2017-06-22,31.8,NA,8.4,22.2,NA,NA,NA,NA,1006,NA,9,NA,NA,NA,3.6,NA,NA,2.2,NA,NA,3.2,1.5,8.8,1.6,2.2,NA,NA,NA
PAMAK/Skai,2017-05-26,38,NA,9,19.5,NA,NA,NA,NA,1187,NA,9,NA,NA,NA,2.5,NA,NA,2,NA,NA,3,1,6.5,2.5,2,1,NA,NA
Marc/Proto Thema,2017-05-26,37.7,NA,8.3,18.4,NA,NA,NA,NA,1000,NA,8.2,NA,NA,NA,2.8,NA,NA,2.7,NA,NA,3.5,1.9,6.8,1.6,1.6,1.4,NA,NA
Pulse RC/Action24,2017-05-23,37,NA,7.5,21,NA,NA,NA,NA,1202,NA,8.5,NA,NA,NA,2,NA,NA,2,NA,NA,2,1,8,1,3,1.5,NA,NA
Metron Analysis/Parapolitika,2017-05-06,36.8,NA,8.1,22,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,2.8,NA,NA,2.4,NA,NA,4.1,2,7,2.6,1.4,NA,NA,NA
Kapa Research/To Vima,2017-04-20,31.8,NA,8,22.2,NA,NA,NA,NA,1200,NA,9.2,NA,NA,NA,3.4,NA,NA,2.4,NA,NA,3.2,1.8,8.9,1.4,2.4,NA,NA,NA
PAMAK/Skai,2017-04-08,38.5,NA,8,18,NA,NA,NA,NA,1084,NA,9,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,2.5,1,7.5,NA,2.5,NA,NA,NA
Pulse RC/Action24,2017-04-05,36.5,NA,7,21.5,NA,NA,NA,NA,1156,NA,8.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,2.5,2.5,8,1,3,1,NA,NA
Palmos Analysis/tvxs,2017-03-30,35,NA,9,24.5,NA,NA,NA,NA,1001,NA,6.5,NA,NA,NA,2,NA,NA,2,NA,NA,3,1.5,7,1.5,2,NA,NA,NA
Marc/Proto Thema,2017-03-18,37.7,NA,8.6,18.1,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,2.9,NA,NA,2.9,NA,NA,3.6,1.4,7.3,1.3,2.1,NA,NA,NA
Pulse RC/Action24,2017-03-15,37,NA,7.5,22,NA,NA,NA,NA,2305,NA,8.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,1,7.5,1,3,NA,NA,NA
Opinion Poll/Eleftheros Typos,2017-03-10,37.9,NA,6.8,17.7,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,2.4,NA,NA,1.2,NA,NA,3.1,2.4,6.7,2.4,3.2,NA,NA,NA
PAMAK/Skai,2017-03-10,38,NA,9,18,NA,NA,NA,NA,1069,NA,9,NA,NA,NA,3,NA,NA,2,NA,NA,2.5,1.5,7.5,NA,2.5,NA,NA,NA
MRB/Star,2017-02-15,35.3,NA,8.9,18.4,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,3,NA,NA,2.8,NA,NA,3,NA,9,NA,2.8,NA,NA,NA
PAMAK/Skai,2017-02-10,39.5,NA,8.5,20,NA,NA,NA,NA,1016,NA,9,NA,NA,NA,2,NA,NA,2,NA,NA,2.5,1.5,8,NA,2,NA,NA,NA
Rass/iefimerida,2017-02-03,34.6,NA,8.8,20.3,NA,NA,NA,NA,1504,NA,9.4,NA,NA,NA,3.4,NA,NA,2.7,NA,NA,3.6,NA,9.8,1.5,2.2,NA,NA,NA
Metron Analysis/ANT1,2017-01-28,36.9,NA,7.2,22.3,NA,NA,NA,NA,1005,NA,8,NA,NA,NA,3,NA,NA,2.5,NA,NA,3.2,2.2,7,1.6,2.2,NA,NA,NA
Marc/Proto Thema,2017-01-26,38.3,NA,8.5,18.9,NA,NA,NA,NA,1008,NA,7.9,NA,NA,NA,3.1,NA,NA,2.7,NA,NA,3.7,1.6,7.7,NA,2.7,NA,NA,NA
Interview/Vergina,2017-01-24,36.7,NA,6.1,23.8,NA,NA,NA,NA,1000,NA,7.4,NA,NA,NA,3.1,NA,NA,2.5,NA,NA,3.1,1.2,6.1,NA,2.2,1.5,NA,NA
Alco/Parapolitika,2017-01-19,32.7,NA,8.7,21.7,NA,NA,NA,NA,1000,NA,10.3,NA,NA,NA,3,NA,NA,1.7,NA,NA,3.3,1.8,7.6,NA,2.9,NA,NA,NA
PAMAK/Skai,2017-01-17,36.5,NA,7.5,19.5,NA,NA,NA,NA,1064,NA,9,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,1,7.5,NA,3,NA,NA,NA
Kapa Research/To Vima,2016-12-22,31.6,NA,7.2,22.9,NA,NA,NA,NA,1002,NA,9,NA,NA,NA,3.1,NA,NA,2.5,NA,NA,3.5,1.7,7.6,1.4,3.1,NA,NA,NA
MRB/Newsit,2016-12-12,35.7,NA,8.3,20.1,NA,NA,NA,NA,1013,NA,10.3,NA,NA,NA,3.3,NA,NA,2.1,NA,NA,3.7,NA,8.3,1.4,3.3,NA,NA,NA
MRB/Newsit,2016-12-09,36,NA,7.9,20,NA,NA,NA,NA,2000,NA,10.3,NA,NA,NA,3,NA,NA,2.5,NA,NA,3.7,NA,8,1.5,3.8,NA,NA,NA
Marc/Proto Thema,2016-12-07,37.7,NA,8.3,18.6,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,3.3,NA,NA,2.2,NA,NA,3.5,1.6,6.5,NA,3.3,NA,NA,NA
Pulse RC/Action24,2016-12-03,36.5,NA,6.5,23.5,NA,NA,NA,NA,1209,NA,8.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,1,7,1,3.5,NA,NA,NA
PAMAK/Skai,2016-11-30,38,NA,7,19,NA,NA,NA,NA,1082,NA,9.5,NA,NA,NA,2.5,NA,NA,2,NA,NA,3.5,1,6.5,NA,3.5,NA,NA,NA
PAMAK/Skai,2016-11-04,37,NA,7,18.5,NA,NA,NA,NA,1080,NA,8.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3.5,1,5.5,2,3.5,NA,NA,NA
Alco/Parapolitika,2016-11-03,31.4,NA,7.1,22.3,NA,NA,NA,NA,1000,NA,9.3,NA,NA,NA,3.2,NA,NA,2.5,NA,NA,3,3.2,7.1,NA,4.2,NA,NA,NA
Public Issue,2016-10-27,42,NA,7.5,18,NA,NA,NA,NA,1004,NA,8,NA,NA,NA,2,NA,NA,2.5,NA,NA,2,NA,8,NA,2.5,NA,NA,NA
Alco/Newsit,2016-10-14,31.2,NA,7.4,21.9,NA,NA,NA,NA,1000,NA,10,NA,NA,NA,3.2,NA,NA,2.3,NA,NA,3.3,3.6,6.7,NA,3.6,NA,NA,NA
PAMAK/Skai,2016-10-01,36,NA,7,20,NA,NA,NA,NA,1059,NA,9.5,NA,NA,NA,2.5,NA,NA,2,NA,NA,2.5,2,5.5,2.5,2.5,NA,NA,NA
MRB/Real News,2016-09-24,34,NA,6.4,23.8,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,3.4,NA,NA,2.9,NA,NA,3.5,1.8,7.9,NA,2.9,NA,NA,NA
Opinion Poll/Eleftheros Typos,2016-09-24,39,NA,7,23,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2.5,NA,NA,2,NA,NA,2.5,2,6.5,NA,4,NA,NA,NA
Pulse RC/iefimerida,2016-09-21,35.5,NA,6.5,26,NA,NA,NA,NA,1261,NA,8,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3.5,2,6.5,NA,2.5,NA,NA,NA
Marc/Alpha TV,2016-09-21,32.2,NA,8.4,21.4,NA,NA,NA,NA,1005,NA,9.1,NA,NA,NA,3.6,NA,NA,2.7,NA,NA,3.6,1.7,6.8,NA,2.9,NA,NA,NA
Palmos Analysis/tvxs,2016-09-15,32,NA,7.5,27,NA,NA,NA,NA,1004,NA,7.5,NA,NA,NA,2,NA,NA,2.5,NA,NA,2.5,1.5,6.5,NA,3.5,NA,NA,NA
Alco/Parapolitika,2016-09-15,31.5,NA,7.4,22.9,NA,NA,NA,NA,1000,NA,9.6,NA,NA,NA,3.1,NA,NA,2.2,NA,NA,4.1,3,5.5,NA,3.8,NA,NA,NA
Kapa Research/To Vima,2016-09-08,31.1,NA,7.6,25.6,NA,NA,NA,NA,1002,NA,8.8,NA,NA,NA,3,NA,NA,2.5,NA,NA,3.8,1.4,6.7,2,2.4,NA,NA,NA
PAMAK/Skai,2016-09-02,34,NA,7,21.5,NA,NA,NA,NA,1034,NA,9,NA,NA,NA,2.5,NA,NA,2,NA,NA,4.5,2,7,NA,2,NA,NA,NA
Alco/Parapolitika,2016-07-03,30.1,NA,7.6,21.4,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,3.1,NA,NA,3.6,NA,NA,4.7,3.7,5.7,NA,3.6,NA,NA,NA
PAMAK/Skai,2016-06-29,35,NA,7.5,21,NA,NA,NA,NA,1044,NA,10,NA,NA,NA,2.5,NA,NA,2,NA,NA,3.5,2,5.5,3,2,NA,NA,NA
Pulse RC/Action24,2016-06-27,34.5,NA,6,26.5,NA,NA,NA,NA,1115,NA,7.5,NA,NA,NA,3,NA,NA,3,NA,NA,3.5,3,6,1,3,NA,NA,NA
MRB/Real.gr,2016-06-24,33.1,NA,7.3,25.6,NA,NA,NA,NA,2000,NA,8.4,NA,NA,NA,3.3,NA,NA,2.8,NA,NA,4.5,1.2,7.4,NA,3.2,NA,NA,NA
Kapa Research/To Vima,2016-06-09,30.8,NA,7.5,25.6,NA,NA,NA,NA,1003,NA,8.7,NA,NA,NA,3.4,NA,NA,3,NA,NA,4.6,1.8,7.4,NA,3.2,NA,NA,NA
Alco/Proto Thema,2016-06-02,31.6,NA,8,22.3,NA,NA,NA,NA,1000,NA,10.1,NA,NA,NA,3.1,NA,NA,2.7,NA,NA,3.7,3.9,5.3,NA,3,NA,NA,NA
PAMAK/Skai,2016-05-26,32.5,NA,7,22,NA,NA,NA,NA,1070,NA,9,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,5,1.5,5.5,NA,3,NA,NA,NA
AUEB–STAT,2016-05-16,27.5,NA,6.6,22,NA,NA,NA,NA,1705,NA,13.5,NA,NA,NA,3,NA,NA,3.3,NA,NA,4.3,3.6,5.6,2.7,4.4,NA,NA,NA
Kapa Research/To Vima,2016-04-14,31.4,NA,7.2,27,NA,NA,NA,NA,1005,NA,8,NA,NA,NA,3.7,NA,NA,2.7,NA,NA,3.8,NA,8.7,NA,NA,NA,NA,NA
Pulse RC/Action24,2016-04-13,35,NA,6.5,28,NA,NA,NA,NA,1208,NA,7.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,3,6.5,1,NA,NA,NA,NA
PAMAK/Skai,2016-03-30,32.5,NA,8.5,21.5,NA,NA,NA,NA,1026,NA,8.5,NA,NA,NA,3.5,NA,NA,3.5,NA,NA,5.5,2,5.5,NA,NA,NA,NA,NA
Alco/Proto Thema,2016-03-17,31.4,NA,7.4,25.7,NA,NA,NA,NA,1000,NA,9.1,NA,NA,NA,3.3,NA,NA,2.7,NA,NA,3.9,3.3,5.3,NA,NA,NA,NA,NA
Rass/To Paron,2016-03-04,32,NA,7.6,28.6,NA,NA,NA,NA,1001,NA,7.8,NA,NA,NA,3.4,NA,NA,2.8,NA,NA,5.7,2.4,6.5,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2016-02-26,33.9,NA,6.7,27.7,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,3.3,NA,NA,3.1,NA,NA,5.3,3,6,2,NA,NA,NA,NA
PAMAK/Skai,2016-02-24,31.5,NA,7,23,NA,NA,NA,NA,1205,NA,8,NA,NA,NA,3.5,NA,NA,2.5,NA,NA,6,2.5,6,NA,NA,NA,NA,NA
MRB/Real.gr,2016-02-11,31.8,NA,7.8,27.4,NA,NA,NA,NA,2000,NA,7.7,NA,NA,NA,3.5,NA,NA,3.1,NA,NA,4.8,2.8,6.7,2.2,NA,NA,NA,NA
Kapa Research/To Vima,2016-01-21,30.9,NA,7.9,29,NA,NA,NA,NA,1003,NA,8.6,NA,NA,NA,4.3,NA,NA,3.1,NA,NA,3.6,2.5,6.1,NA,NA,NA,NA,NA
Pulse RC/Action24,2016-01-19,34.5,NA,6.5,29.5,NA,NA,NA,NA,1207,NA,6.5,NA,NA,NA,2.5,NA,NA,2.5,NA,NA,3,3.5,5.5,1,NA,NA,NA,NA
Metron Analysis/Parapolitika,2016-01-15,34.5,NA,6.7,29.1,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,3.1,NA,NA,3.2,NA,NA,3.9,3.4,6,NA,NA,NA,NA,NA
Alco/Proto Thema,2016-01-15,33,NA,8.4,27.9,NA,NA,NA,NA,1000,NA,8.1,NA,NA,NA,2.9,NA,NA,2.5,NA,NA,4,2,4.8,NA,NA,NA,NA,NA
MRB/Real News,2015-12-22,27.4,NA,8.2,28.6,NA,NA,NA,NA,1003,NA,8.4,NA,NA,NA,4.2,NA,NA,3.9,NA,NA,4.5,3.9,7.1,NA,NA,NA,NA,NA
ProRata/iefimerida,2015-12-16,27.5,NA,8.5,29,NA,NA,NA,NA,1000,NA,9.5,NA,NA,NA,3,NA,NA,3.5,NA,NA,4.5,3.5,6,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-11-26,24.9,NA,7.4,30.8,NA,NA,NA,NA,1006,NA,9.3,NA,NA,NA,3.5,NA,NA,3.7,NA,NA,3.8,3.2,7.5,NA,NA,NA,NA,NA
